2020_01_07_10_26_40_487,7788,-771,-3422,-110,-14,-8,77
2020_01_07_10_26_40_497,7765,-766,-3417,-110,-14,-4,77
2020_01_07_10_26_40_507,7766,-775,-3448,-113,-13,-1,77
2020_01_07_10_26_40_517,7782,-766,-3428,-111,-12,-2,77
2020_01_07_10_26_40_527,7773,-765,-3433,-111,-9,-3,77
2020_01_07_10_26_40_537,7738,-755,-3444,-110,-12,-2,77
2020_01_07_10_26_40_547,7769,-766,-3454,-108,-13,-4,77
2020_01_07_10_26_40_557,7783,-727,-3425,-107,-12,-4,77
2020_01_07_10_26_40_567,7749,-740,-3433,-106,-14,-5,77
2020_01_07_10_26_40_577,7758,-762,-3442,-104,-18,-7,77
2020_01_07_10_26_40_587,7757,-777,-3456,-104,-16,-4,77
2020_01_07_10_26_40_597,7790,-748,-3450,-106,-15,-1,77
2020_01_07_10_26_40_607,7783,-734,-3444,-107,-15,-2,77
2020_01_07_10_26_40_617,7759,-749,-3435,-107,-15,-4,77
2020_01_07_10_26_40_627,7753,-765,-3488,-108,-14,-4,77
2020_01_07_10_26_40_637,7773,-738,-3484,-107,-14,-2,77
2020_01_07_10_26_40_647,7779,-761,-3468,-106,-13,-3,77
2020_01_07_10_26_40_657,7795,-763,-3459,-107,-14,-5,77
2020_01_07_10_26_40_667,7770,-743,-3478,-107,-13,-4,77
2020_01_07_10_26_40_677,7766,-751,-3453,-108,-12,-3,77
2020_01_07_10_26_40_687,7753,-750,-3438,-108,-11,-4,77
2020_01_07_10_26_40_697,7772,-746,-3446,-113,-12,-1,77
2020_01_07_10_26_40_707,7775,-767,-3460,-114,-10,-1,77
2020_01_07_10_26_40_717,7766,-771,-3457,-114,-11,-3,77
2020_01_07_10_26_40_727,7781,-780,-3473,-112,-11,0,77
2020_01_07_10_26_40_737,7784,-754,-3468,-111,-10,0,77
2020_01_07_10_26_40_747,7781,-748,-3464,-111,-12,-2,77
2020_01_07_10_26_40_757,7780,-772,-3436,-111,-11,-2,77
2020_01_07_10_26_40_767,7784,-756,-3444,-110,-12,-2,77
2020_01_07_10_26_40_777,7757,-771,-3440,-110,-12,-3,77
2020_01_07_10_26_40_787,7765,-758,-3424,-109,-11,-3,77
2020_01_07_10_26_40_797,7787,-757,-3461,-111,-9,-4,77
2020_01_07_10_26_40_807,7779,-517,-3443,-114,-12,-4,77
2020_01_07_10_26_40_817,7776,-771,-3408,-114,-12,-3,77
2020_01_07_10_26_40_827,7768,-770,-3407,-111,-12,-3,77
2020_01_07_10_26_40_837,7769,-767,-3418,-110,-15,-2,77
2020_01_07_10_26_40_847,7785,-796,-3430,-106,-14,-1,77
2020_01_07_10_26_40_857,7789,-790,-3431,-105,-12,-3,77
2020_01_07_10_26_40_867,7777,-762,-3410,-108,-14,-4,77
2020_01_07_10_26_40_877,7754,-743,-3419,-109,-12,-1,77
2020_01_07_10_26_40_887,7721,-780,-3435,-111,-12,-2,77
2020_01_07_10_26_40_897,7753,-773,-3461,-108,-13,-4,77
2020_01_07_10_26_40_907,7764,-760,-3458,-107,-13,-5,77
2020_01_07_10_26_40_917,7782,-785,-3429,-105,-13,-3,77
2020_01_07_10_26_40_927,7765,-761,-3447,-104,-12,-2,77
2020_01_07_10_26_40_937,7764,-766,-3465,-106,-10,-2,77
2020_01_07_10_26_40_947,7769,-750,-3436,-106,-12,-1,77
2020_01_07_10_26_40_957,7791,-759,-3453,-111,-14,-4,77
2020_01_07_10_26_40_967,7751,-771,-3479,-111,-13,-4,77
2020_01_07_10_26_40_977,7743,-772,-3435,-109,-12,-3,77
2020_01_07_10_26_40_987,7751,-765,-3450,-106,-13,-4,77
2020_01_07_10_26_40_997,7767,-771,-3449,-105,-13,-3,77
2020_01_07_10_26_41_007,7756,-750,-3441,-107,-14,-2,77
2020_01_07_10_26_41_017,7776,-772,-3443,-108,-12,-1,77
2020_01_07_10_26_41_027,7784,-788,-3457,-108,-13,-3,77
2020_01_07_10_26_41_037,7783,-741,-3437,-111,-11,-4,77
2020_01_07_10_26_41_047,7761,-773,-3429,-112,-9,-3,77
2020_01_07_10_26_41_057,7777,-774,-3457,-114,-11,-3,77
2020_01_07_10_26_41_067,7765,-770,-3436,-115,-11,-4,77
2020_01_07_10_26_41_077,7768,-766,-3463,-111,-12,-6,77
2020_01_07_10_26_41_087,7747,-772,-3460,-109,-13,-6,77
2020_01_07_10_26_41_097,7750,-772,-3434,-108,-13,-5,77
2020_01_07_10_26_41_107,7774,-773,-3427,-106,-13,-4,77
2020_01_07_10_26_41_117,7767,-784,-3438,-106,-15,-1,77
2020_01_07_10_26_41_127,7793,-767,-3439,-106,-13,-3,77
2020_01_07_10_26_41_137,7772,-791,-3467,-108,-12,-4,77
2020_01_07_10_26_41_147,7781,-764,-3451,-110,-12,-5,77
2020_01_07_10_26_41_157,7774,-768,-3428,-110,-11,-4,77
2020_01_07_10_26_41_167,7748,-782,-3446,-110,-11,-3,77
2020_01_07_10_26_41_177,7762,-774,-3452,-109,-13,-3,77
2020_01_07_10_26_41_187,7767,-774,-3458,-107,-14,-4,77
2020_01_07_10_26_41_197,7752,-744,-3465,-107,-14,-4,77
2020_01_07_10_26_41_207,7773,-761,-3480,-110,-14,-7,77
2020_01_07_10_26_41_217,7760,-760,-3443,-109,-13,-4,77
2020_01_07_10_26_41_227,7776,-717,-3480,-110,-14,-5,77
2020_01_07_10_26_41_237,7733,-757,-3461,-110,-14,-4,77
2020_01_07_10_26_41_247,7748,-733,-3452,-110,-13,-4,77
2020_01_07_10_26_41_257,7751,-763,-3448,-109,-14,-4,77
2020_01_07_10_26_41_267,7760,-764,-3428,-111,-13,-4,77
2020_01_07_10_26_41_277,7758,-744,-3454,-109,-13,-3,77
2020_01_07_10_26_41_287,7762,-766,-3447,-111,-14,-4,77
2020_01_07_10_26_41_297,7763,-745,-3445,-109,-15,-2,77
2020_01_07_10_26_41_307,7753,-769,-3438,-108,-14,-3,77
2020_01_07_10_26_41_317,7768,-764,-3407,-107,-14,-2,77
2020_01_07_10_26_41_327,7778,-771,-3435,-108,-12,-2,77
2020_01_07_10_26_41_337,7766,-748,-3434,-108,-13,-4,77
2020_01_07_10_26_41_347,7759,-766,-3442,-108,-12,-3,77
2020_01_07_10_26_41_357,7780,-774,-3453,-108,-11,-3,77
2020_01_07_10_26_41_367,7756,-774,-3462,-109,-11,-5,77
2020_01_07_10_26_41_377,7778,-772,-3438,-113,-11,-4,77
2020_01_07_10_26_41_387,7742,-776,-3443,-115,-11,-5,77
2020_01_07_10_26_41_397,7787,-773,-3430,-115,-10,-6,77
2020_01_07_10_26_41_407,7792,-753,-3401,-116,-10,-4,77
2020_01_07_10_26_41_417,7772,-752,-3443,-115,-7,-1,77
2020_01_07_10_26_41_427,7777,-729,-3446,-112,-8,-1,77
2020_01_07_10_26_41_437,7777,-753,-3471,-112,-10,0,77
2020_01_07_10_26_41_447,7765,-744,-3461,-111,-12,-3,77
2020_01_07_10_26_41_457,7789,-760,-3470,-103,-13,-4,77
2020_01_07_10_26_41_467,7762,-756,-3464,-101,-15,-5,77
2020_01_07_10_26_41_477,7745,-768,-3432,-100,-17,-6,77
2020_01_07_10_26_41_487,7751,-756,-3452,-107,-17,-7,77
2020_01_07_10_26_41_497,7756,-786,-3410,-110,-14,-4,77
2020_01_07_10_26_41_507,7767,-794,-3416,-110,-13,-4,77
2020_01_07_10_26_41_517,7768,-778,-3430,-112,-10,-3,77
2020_01_07_10_26_41_527,7783,-774,-3436,-109,-10,0,77
2020_01_07_10_26_41_537,7777,-727,-3469,-108,-12,0,77
2020_01_07_10_26_41_547,7776,-746,-3464,-106,-12,-2,77
2020_01_07_10_26_41_557,7774,-749,-3453,-108,-13,-3,77
2020_01_07_10_26_41_567,7777,-767,-3442,-110,-15,-5,77
2020_01_07_10_26_41_577,7760,-767,-3439,-111,-15,-4,77
2020_01_07_10_26_41_587,7755,-766,-3454,-113,-14,-4,77
2020_01_07_10_26_41_597,7761,-776,-3480,-112,-13,-2,77
2020_01_07_10_26_41_607,7745,-772,-3422,-113,-11,-2,77
2020_01_07_10_26_41_617,7785,-773,-3459,-112,-9,-1,77
2020_01_07_10_26_41_627,7776,-762,-3438,-111,-11,-3,77
2020_01_07_10_26_41_637,7780,-765,-3448,-112,-11,-5,77
2020_01_07_10_26_41_647,7791,-756,-3451,-112,-11,-3,77
2020_01_07_10_26_41_657,7779,-735,-3451,-115,-11,-5,77
2020_01_07_10_26_41_667,7772,-744,-3417,-117,-12,-5,77
2020_01_07_10_26_41_677,7778,-750,-3423,-114,-11,-3,77
2020_01_07_10_26_41_687,7775,-755,-3427,-114,-11,-2,77
2020_01_07_10_26_41_697,7771,-758,-3447,-112,-12,-4,77
2020_01_07_10_26_41_707,7751,-763,-3459,-113,-12,-2,77
2020_01_07_10_26_41_717,7766,-760,-3452,-109,-12,-2,77
2020_01_07_10_26_41_727,7747,-782,-3418,-108,-11,-3,77
2020_01_07_10_26_41_737,7774,-749,-3455,-109,-14,-2,77
2020_01_07_10_26_41_747,7782,-747,-3442,-110,-12,-1,77
2020_01_07_10_26_41_757,7762,-748,-3435,-112,-15,-3,77
