2020_01_07_10_25_01_740,-607,5369,5932,58,44,2,1615
2020_01_07_10_25_01_750,-625,5410,5940,54,44,7,1615
2020_01_07_10_25_01_760,-617,5425,5943,40,40,8,1615
2020_01_07_10_25_01_770,-630,5385,5925,34,40,8,1615
2020_01_07_10_25_01_780,-612,5336,5902,30,42,10,1615
2020_01_07_10_25_01_790,-613,5307,5900,33,50,11,1615
2020_01_07_10_25_01_800,-613,5354,5952,43,53,9,1615
2020_01_07_10_25_01_810,-593,5392,5951,48,56,9,1615
2020_01_07_10_25_01_820,-585,5405,5935,52,58,7,1615
2020_01_07_10_25_01_830,-605,5424,5954,53,65,7,1615
2020_01_07_10_25_01_840,-605,5412,5932,49,65,10,1615
2020_01_07_10_25_01_850,-622,5422,5952,47,64,12,1615
2020_01_07_10_25_01_860,-620,5420,5932,44,64,15,1615
2020_01_07_10_25_01_870,-642,5382,5976,31,67,25,1616
2020_01_07_10_25_01_880,-651,5390,5969,24,67,27,1615
2020_01_07_10_25_01_890,-665,5378,5960,22,63,31,1615
2020_01_07_10_25_01_900,-646,5337,6003,20,60,35,1615
2020_01_07_10_25_01_910,-661,5376,6009,22,58,39,1615
2020_01_07_10_25_01_920,-644,5367,6035,20,56,40,1615
2020_01_07_10_25_01_930,-631,5359,5984,19,56,39,1615
2020_01_07_10_25_01_940,-648,5361,5975,18,49,36,1615
2020_01_07_10_25_01_950,-648,5300,5957,26,46,31,1616
2020_01_07_10_25_01_960,-625,5292,5943,33,46,26,1615
2020_01_07_10_25_01_970,-622,5294,5914,40,42,23,1615
2020_01_07_10_25_01_980,-628,5325,5918,49,39,13,1615
2020_01_07_10_25_01_990,-625,5309,5940,52,44,12,1616
2020_01_07_10_25_02_000,-620,5319,5948,55,48,10,1615
2020_01_07_10_25_02_010,-627,5306,5953,59,52,9,1616
2020_01_07_10_25_02_020,-606,5334,5968,66,57,6,1615
2020_01_07_10_25_02_030,-601,5321,5915,68,63,5,1616
2020_01_07_10_25_02_040,-626,5317,5946,68,65,6,1616
2020_01_07_10_25_02_050,-618,5326,5904,71,67,3,1616
2020_01_07_10_25_02_060,-625,5322,5925,68,77,-4,1616
2020_01_07_10_25_02_070,-613,5322,5951,69,81,-7,1616
2020_01_07_10_25_02_080,-604,5372,5985,72,84,-10,1616
2020_01_07_10_25_02_090,-626,5415,5994,75,81,-10,1616
2020_01_07_10_25_02_100,-614,5402,5963,70,80,-8,1616
2020_01_07_10_25_02_110,-647,5374,5975,67,75,-6,1616
2020_01_07_10_25_02_120,-636,5349,5972,64,73,-2,1616
2020_01_07_10_25_02_130,-644,5346,5966,65,64,-2,1616
2020_01_07_10_25_02_140,-639,5362,5978,67,64,-4,1616
2020_01_07_10_25_02_150,-659,5358,5966,67,65,-3,1616
2020_01_07_10_25_02_160,-640,5381,5937,68,64,-2,1616
2020_01_07_10_25_02_170,-656,5413,5970,72,56,3,1616
2020_01_07_10_25_02_180,-644,5412,5968,64,50,5,1616
2020_01_07_10_25_02_190,-629,5424,6005,54,45,7,1617
2020_01_07_10_25_02_200,-634,5326,5968,48,43,10,1617
2020_01_07_10_25_02_210,-620,5356,5979,56,35,10,1617
2020_01_07_10_25_02_220,-631,5375,5981,54,33,11,1616
2020_01_07_10_25_02_230,-642,5369,5969,50,34,10,1617
2020_01_07_10_25_02_240,-631,5357,5916,50,35,0,1617
2020_01_07_10_25_02_250,-640,5349,5951,50,34,-1,1617
2020_01_07_10_25_02_260,-648,5335,5951,51,38,0,1617
2020_01_07_10_25_02_270,-657,5353,5939,54,43,3,1617
2020_01_07_10_25_02_280,-636,5371,5950,47,45,10,1617
2020_01_07_10_25_02_290,-654,5398,5975,41,44,15,1617
2020_01_07_10_25_02_300,-633,5354,5955,37,42,18,1617
2020_01_07_10_25_02_310,-640,5386,5947,38,43,19,1617
2020_01_07_10_25_02_320,-588,5371,5929,42,44,21,1617
2020_01_07_10_25_02_330,-606,5392,5946,39,43,22,1617
2020_01_07_10_25_02_340,-582,5380,5965,34,40,21,1617
2020_01_07_10_25_02_350,-614,5387,5932,28,40,25,1617
2020_01_07_10_25_02_360,-645,5345,5979,29,42,23,1618
2020_01_07_10_25_02_370,-644,5340,5949,33,45,21,1618
2020_01_07_10_25_02_380,-677,5333,5949,36,46,22,1617
2020_01_07_10_25_02_390,-654,5389,5964,41,48,25,1618
2020_01_07_10_25_02_400,-636,5383,6012,36,52,26,1617
2020_01_07_10_25_02_410,-640,5390,5975,32,49,26,1617
2020_01_07_10_25_02_420,-646,5360,6009,30,50,29,1617
2020_01_07_10_25_02_430,-638,5345,5993,32,46,36,1618
2020_01_07_10_25_02_440,-648,5357,5942,35,45,36,1618
2020_01_07_10_25_02_450,-617,5339,5956,39,45,33,1618
2020_01_07_10_25_02_460,-611,5369,5974,38,41,31,1617
2020_01_07_10_25_02_470,-628,5291,5895,29,46,24,1618
2020_01_07_10_25_02_480,-597,5285,5908,32,46,20,1618
