,TIME,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6
2993,09:30:28.152,4.5232,-30.8273,-9.0587,0.4097,-7.4583,-6.39,-9.0256,-14.1331,-13.6559,-25.0713,2.4222,-5.6722,8.8275,-36.2106,-7.3616,-12.0304,-11.6593,-7.7338,-12.5579,-8.5805,-25.3761,-0.9301,-3.3979,-0.9205,-17.6182
2995,09:30:28.154,7.6488,-28.5751,-10.1418,-2.5267,-7.2976,-6.3849,-8.9099,-13.8379,-12.069,-24.1978,2.4213,-4.6016,10.5071,-37.183,-8.2031,-12.0955,-11.8742,-8.245,-12.6133,-8.9256,-24.7049,-0.6465,-2.1182,-1.02,-18.2368
2997,09:30:28.156,9.976,-22.4488,-10.2002,-5.0828,-6.8263,-4.9727,-8.477,-11.0056,-8.615,-20.7698,2.9828,-2.2324,11.8972,-32.2503,-7.909,-10.6585,-10.8227,-7.8199,-11.6244,-8.3669,-21.7456,-1.7579,-0.4596,-2.152,-16.5007
2999,09:30:28.158,12.5902,-13.8403,-8.8231,-5.5173,-5.0551,-1.4046,-6.3208,-4.7406,-3.356,-13.8735,4.7245,1.7929,13.7531,-20.8582,-5.7893,-7.0114,-7.4148,-5.75,-8.7289,-6.0391,-16.3304,-2.9124,2.1394,-2.8289,-11.229
3001,09:30:28.160,15.9146,-5.3516,-4.9713,-1.8003,-0.9953,4.549,-1.4266,4.6506,3.043,-3.8183,8.3091,7.4092,16.3952,-4.8029,-0.9638,-0.8891,-1.3129,-1.2994,-3.2679,-1.3593,-8.7421,-1.8198,6.17,-1.1949,-2.5495
3003,09:30:28.162,18.8363,0.2035,1.1098,5.8678,4.6779,11.4306,5.0268,14.5434,9.0012,6.632,13.0206,13.097,18.9214,10.5669,5.8698,6.3839,5.8091,4.7804,3.7295,4.6248,-0.3122,2.0726,10.9296,2.7962,6.8323
3005,09:30:28.164,19.5013,1.5776,7.3964,14.5538,9.7535,16.7524,10.212,21.3587,12.8726,13.7834,16.8296,16.5932,19.3538,19.4082,12.3065,12.4277,11.1793,10.3089,9.8126,9.6679,7.1877,6.716,14.6808,7.1148,13.0775
3007,09:30:28.166,17.2644,0.1975,11.641,20.7045,12.4103,19.036,12.1421,23.418,14.2744,16.057,18.1064,16.9034,16.1932,20.4222,16.106,15.6924,13.2943,13.4439,13.0281,12.2753,12.9223,9.3652,16.0704,9.4837,14.3054
3009,09:30:28.168,13.7611,-0.6765,13.2044,22.6424,12.819,19.0287,11.399,22.2521,14.3486,15.1459,17.1054,15.3729,10.0559,18.1173,17.0084,16.6603,13.1501,14.2274,13.4389,13.0011,17.5471,9.1166,15.3052,9.3108,12.1109
3011,09:30:28.170,11.7561,1.6459,13.194,21.0842,12.6787,18.7408,10.2434,20.8868,14.5036,13.9445,15.5334,14.4537,3.5339,18.2611,16.5088,17.0386,12.9527,14.2099,12.6621,13.6195,22.2029,7.3873,13.8469,7.8274,9.9116
3013,09:30:28.172,12.7607,7.2713,12.9679,17.7063,13.2958,19.3898,10.2001,20.9647,14.9605,13.6765,14.6957,15.3827,-0.8628,22.2476,15.9967,17.876,13.7774,14.6568,12.1022,15.1257,27.0199,6.0858,13.0247,6.5652,9.9399
3015,09:30:28.174,15.7897,13.8462,12.8138,13.6734,14.3546,20.4439,10.7758,21.6975,14.6953,13.3908,14.297,17.204,-2.6629,26.4821,15.4462,18.6613,14.7181,15.37,11.8589,16.7905,30.7526,5.6902,13.0507,5.9315,11.862
3017,09:30:28.176,18.462,18.6679,12.1536,9.4817,14.5691,20.5597,10.4702,21.3594,12.7626,11.898,13.1329,18.0194,-3.2477,26.9885,13.9917,18.2157,14.2186,15.2883,11.2567,17.1679,31.848,5.2249,13.3197,5.2293,13.856
3019,09:30:28.178,19.2103,20.8574,10.7401,5.6085,13.2602,19.1319,8.6421,19.2669,9.4572,9.3665,10.7265,16.9352,-3.8154,23.5446,11.4385,16.1783,11.8504,13.9581,10.0372,15.744,29.7301,3.7867,13.4223,3.7713,14.4099
3021,09:30:28.180,18.3649,21.7268,9.3212,2.7544,11.0749,16.8076,6.1167,16.1442,6.0883,6.7154,8.0181,14.6798,-3.8672,18.9015,8.8357,13.4519,8.6265,12.153,8.7576,13.408,25.1021,1.6949,13.6799,1.7301,13.0516
3023,09:30:28.182,17.2738,23.221,9.0863,1.4492,9.2844,14.7693,4.1635,13.0663,3.7921,4.1172,6.4589,12.6037,-2.005,15.0467,7.5642,11.3678,5.8893,11.1175,8.1721,11.4853,19.3216,0.1271,14.746,-0.0397,10.0956
3025,09:30:28.184,16.7027,26.0145,10.6381,1.7889,8.6762,13.8612,3.3011,10.6661,2.7456,0.9895,6.6662,11.4788,1.8295,11.691,8.1453,10.6914,4.3057,11.4701,8.5625,10.6353,13.7059,-0.0481,16.8639,-0.757,6.4788
3027,09:30:28.186,16.2295,28.9376,13.5427,3.6988,9.1879,14.3426,3.2039,9.3358,2.4036,-2.5151,8.0703,11.2847,5.2768,8.4142,10.0506,11.4013,3.9005,12.9078,9.7372,10.7125,9.1987,1.1168,19.5555,-0.1835,3.8113
3029,09:30:28.188,14.9832,30.0048,16.6587,7.1483,10.3044,16.0067,3.414,9.4862,2.1242,-4.8991,9.6583,11.6974,5.0821,6.6442,12.3983,13.0394,4.5327,14.6922,11.3672,11.3206,6.1359,2.959,21.8753,1.4449,3.7504
3031,09:30:28.190,12.6469,27.9074,18.7077,11.7536,11.4569,18.1552,3.726,11.0002,1.3725,-4.9332,10.7663,12.3205,-0.1047,8.0436,14.502,14.9362,5.8871,16.1093,13.0235,12.1207,3.9788,4.7387,22.8342,3.6333,6.5777
3033,09:30:28.192,9.6732,22.6879,18.6997,16.2648,12.0514,19.6006,3.8964,12.5864,-0.413,-3.657,11.1663,12.4865,-8.3392,11.2822,15.8038,16.2114,7.1314,16.5293,13.9958,12.6552,1.4902,5.809,21.7055,5.6867,10.4105
3035,09:30:28.194,6.7605,15.3351,16.3018,18.9345,11.4985,19.2004,3.4014,12.3519,-3.6536,-3.9533,10.7593,11.3372,-15.6711,12.0368,15.7497,16.0195,7.1298,15.4589,13.499,12.2971,-2.3144,5.648,18.2585,6.7868,12.3691
3037,09:30:28.196,4.3442,7.0451,12.174,18.7759,9.5844,16.7371,1.8362,9.4499,-8.0863,-7.7001,9.5497,8.515,-18.8292,7.1999,14.1517,14.1444,5.3726,12.9133,11.3449,10.7108,-7.1069,4.1507,12.9529,6.3438,10.8983
3039,09:30:28.198,2.5267,-1.0697,7.8775,16.4251,6.8343,13.2044,-0.4925,5.0078,-12.5586,-13.6506,7.9134,4.7404,-16.9858,-1.4279,11.6438,11.3123,2.6012,9.7033,8.3197,8.3124,-11.2649,1.9469,6.8895,4.4344,6.8923
3041,09:30:28.200,1.2247,-7.8119,5.0601,13.5441,4.2812,9.9938,-2.643,1.0981,-15.6741,-18.5661,6.5805,1.4034,-11.5161,-8.6079,9.4372,8.6775,0.2374,7.0423,5.6451,6.0287,-13.2063,0.143,1.3692,1.8484,2.4488
3043,09:30:28.202,0.2359,-11.8807,4.3869,11.3441,2.6977,7.7387,-3.8269,-1.2071,-16.768,-20.3436,6.1083,-0.5772,-4.5544,-10.8218,8.3787,6.8842,-0.8832,5.6381,3.9782,4.4971,-12.7828,-0.5215,-2.6791,-0.4058,-1.2482
3045,09:30:28.204,-0.7039,-12.4333,5.164,9.8405,2.0482,6.043,-4.0264,-2.5115,-16.1971,-19.6019,6.3853,-1.4092,2.2178,-9.1524,8.2722,5.6802,-1.0921,5.1803,3.0162,3.6002,-11.2894,-0.2915,-4.9445,-1.7136,-4.5232
3047,09:30:28.206,-1.6971,-9.8923,6.0278,8.5055,1.709,4.2914,-3.7774,-3.8502,-14.7087,-18.1924,6.7692,-1.9082,7.9041,-6.7961,8.2087,4.4391,-1.2293,4.7743,2.0671,2.8257,-10.1544,-0.0936,-5.5504,-2.0696,-7.8741
3049,09:30:28.208,-2.4765,-6.1857,6.0001,7.2546,1.1273,2.459,-3.511,-5.2056,-12.7305,-16.8052,6.6866,-2.5054,12.1498,-4.7328,7.4818,2.8755,-1.667,3.8044,0.7999,1.915,-9.8226,-0.6384,-4.8115,-1.8612,-10.6679
3051,09:30:28.210,-2.6089,-3.9191,4.9233,6.4167,0.1586,0.9402,-3.3281,-5.6573,-10.4289,-14.655,5.9707,-2.9871,14.7911,-1.1172,6.0462,1.1024,-2.2001,2.27,-0.7141,0.9626,-9.9838,-1.9057,-3.246,-1.5878,-11.6306
3053,09:30:28.212,-2.117,-4.87,3.1188,5.8569,-1.1542,-0.2448,-3.3757,-4.8854,-8.307,-11.3573,4.625,-3.1669,15.5546,5.0271,4.1659,-0.8746,-2.7562,0.381,-2.5159,-0.0499,-10.6059,-3.4636,-1.6573,-1.7331,-10.4794
3055,09:30:28.214,-1.9162,-8.8545,0.9706,4.6864,-2.8648,-1.6847,-4.1125,-4.004,-7.3624,-8.3164,2.5046,-3.4949,13.9052,10.7974,1.9339,-3.3814,-3.8103,-1.8636,-4.9346,-1.5074,-12.312,-5.0611,-0.8925,-2.6198,-8.5485
3057,09:30:28.216,-3.4442,-13.8632,-1.0385,2.2561,-4.9909,-3.85,-5.8994,-4.5588,-8.3735,-7.6903,-0.5067,-4.7451,9.3108,11.2597,-0.6344,-6.6035,-5.8527,-4.4888,-8.0645,-3.72,-15.5926,-6.7162,-1.3317,-4.0887,-7.5342
3059,09:30:28.218,-7.5654,-17.4438,-2.1614,-0.7094,-7.1617,-6.3188,-8.3307,-6.8274,-11.0225,-10.105,-4.0033,-7.1282,2.0017,4.3346,-3.1572,-10.0203,-8.5646,-7.0557,-11.2565,-6.2949,-19.8764,-8.2994,-2.654,-5.2913,-7.832
3061,09:30:28.220,-13.5816,-18.3328,-1.6926,-2.4342,-8.6144,-7.9906,-10.2034,-9.3989,-13.8584,-13.7931,-6.9667,-9.8856,-6.347,-6.7634,-4.8599,-12.5574,-10.7764,-8.6642,-13.4197,-8.1669,-23.6576,-9.3,-4.2024,-5.0704,-8.3725
3063,09:30:28.222,-19.2183,-17.1011,0.3652,-1.7917,-8.6834,-8.0778,-10.3373,-10.4501,-15.2091,-16.0497,-8.3611,-11.7924,-12.9134,-16.1071,-5.1532,-13.3868,-11.3205,-8.6134,-13.8987,-8.3659,-25.5572,-9.1802,-5.5295,-2.8792,-7.9723
3065,09:30:28.224,-21.764,-15.3644,3.0664,0.463,-7.3084,-6.7254,-8.4755,-9.2368,-14.2077,-15.3101,-7.8523,-11.9698,-15.2211,-19.6951,-4.158,-12.5205,-9.8631,-7.0189,-12.9296,-6.7388,-25.1508,-7.9196,-6.4742,0.5402,-6.4981
3067,09:30:28.226,-19.7273,-14.325,5.1102,2.3412,-5.0918,-4.6782,-5.4357,-6.376,-11.1717,-11.8797,-5.9591,-10.2875,-12.8326,-17.6157,-2.5953,-10.6663,-6.9901,-4.7442,-11.2559,-3.9843,-22.8862,-6.1239,-6.8067,3.4796,-4.6705
3069,09:30:28.228,-13.9839,-13.9942,5.6283,2.3828,-2.9973,-2.6728,-2.5482,-3.1232,-7.3667,-7.2471,-3.671,-7.3546,-7.8038,-12.6812,-1.3299,-8.7617,-3.8042,-2.8705,-9.5884,-1.2171,-19.6232,-4.656,-6.1908,4.4287,-3.1834
3071,09:30:28.230,-7.5948,-13.7596,4.3002,0.5367,-2.0727,-1.4235,-1.0556,-0.7777,-4.5811,-3.2639,-2.1072,-4.4752,-3.3939,-8.0505,-1.2233,-7.8204,-1.6506,-2.3785,-8.6736,0.3468,-16.5391,-4.2762,-4.8495,3.049,-2.4656
3073,09:30:28.232,-4.1831,-13.5651,0.878,-2.6002,-3.256,-1.9629,-1.842,-0.5773,-4.5856,-1.7772,-2.4122,-3.4625,-1.9907,-6.039,-3.263,-8.9709,-1.9462,-4.1539,-9.6381,-0.4669,-15.1749,-5.549,-4.1681,0.1181,-3.1748
3075,09:30:28.234,-5.6982,-14.2729,-4.9181,-6.8664,-6.9772,-5.321,-5.2197,-3.3799,-8.2668,-4.0927,-5.4289,-5.8143,-3.7887,-7.7587,-8.2445,-13.0072,-5.5771,-8.7399,-13.5824,-4.343,-16.7938,-8.7263,-6.076,-3.32,-6.2602
3077,09:30:28.236,-11.0214,-16.6289,-12.6598,-12.3557,-12.5643,-11.3337,-10.5316,-8.7907,-14.6983,-9.9311,-10.8907,-11.3954,-7.0057,-12.5207,-15.7779,-19.3981,-11.9219,-15.582,-20.2985,-10.6701,-21.0879,-13.3559,-11.2631,-6.6118,-11.9663
3079,09:30:28.238,-16.5304,-19.8928,-20.4945,-18.235,-18.0674,-17.8406,-15.9682,-14.6552,-21.0727,-16.8787,-16.8415,-17.8249,-9.2022,-17.597,-23.6144,-25.8022,-18.5245,-22.5351,-27.4555,-17.2,-25.5744,-17.9978,-17.889,-9.3645,-18.7635
3081,09:30:28.240,-18.3958,-21.8075,-25.687,-22.332,-21.0633,-21.5943,-19.2107,-18.0145,-24.0937,-21.5152,-20.3362,-21.6359,-8.7019,-19.7155,-28.4883,-29.0788,-22.2605,-26.6279,-31.605,-20.9871,-26.8329,-20.6796,-22.3908,-10.9534,-23.6671
3083,09:30:28.242,-14.9799,-20.2864,-26.3152,-22.4319,-20.0618,-20.4417,-18.7391,-17.0827,-22.0792,-21.7025,-19.3349,-20.61,-5.3747,-17.6931,-28.1912,-27.2964,-21.3419,-25.8708,-30.5057,-20.1753,-22.8739,-20.0169,-21.9924,-10.492,-23.9909
3085,09:30:28.244,-7.5474,-15.235,-22.5008,-18.0577,-15.3296,-14.7558,-14.7385,-12.3877,-16.0444,-17.9572,-14.1942,-15.2408,-0.559,-13.4943,-23.0228,-20.9514,-16.376,-20.5357,-24.6313,-15.0967,-14.4824,-16.0365,-16.6444,-7.443,-18.992
3087,09:30:28.246,1.1229,-8.528,-15.8634,-10.7694,-8.3611,-6.7005,-8.717,-5.8861,-8.7356,-12.543,-7.2039,-7.9138,3.7753,-10.1632,-15.1427,-12.2106,-9.4545,-12.6194,-16.3722,-7.6334,-4.2246,-9.8803,-8.5695,-2.1827,-10.0016
3089,09:30:28.248,8.8984,-2.017,-7.8413,-2.6747,-0.5653,1.8281,-2.1918,0.9774,-2.4529,-7.2687,-0.5106,-0.6598,6.2545,-8.6315,-6.5004,-2.9886,-2.2318,-4.034,-7.8195,0.4769,5.8256,-2.7469,-0.0156,4.1629,0.7644
3091,09:30:28.250,15.4055,4.3637,1.1864,5.1468,7.4958,10.4096,4.2645,8.1771,2.3908,-2.2363,5.5074,6.2286,7.0044,-6.9236,2.4684,6.1759,5.0672,4.5952,0.563,8.6788,15.3333,4.7516,8.4123,10.4551,11.4144
3093,09:30:28.252,21.4131,12.2975,11.0717,12.6867,15.6852,19.4059,10.7855,16.1875,6.8387,3.4552,11.8274,13.4906,7.4699,-2.5833,12.1484,15.4997,12.9059,13.4121,9.2348,17.1036,24.8943,12.2185,17.2943,16.0686,20.7849
3095,09:30:28.254,27.3948,22.8415,20.614,19.8596,23.4219,28.505,17.2715,24.5709,11.8089,10.1889,18.989,21.212,9.0823,4.5558,22.1484,24.6255,21.0727,21.9859,18.0267,25.4041,34.4178,18.7945,26.6712,20.7534,28.3149
3097,09:30:28.256,32.708,34.6351,27.6784,25.839,29.5249,36.3298,22.8992,31.8128,17.0144,17.185,26.0181,28.1912,11.7823,12.311,30.8391,32.2619,28.3126,28.904,25.6841,32.3922,42.6241,23.2595,35.1735,24.2086,33.9334
3099,09:30:28.258,36.012,44.4744,30.8137,29.6772,32.9631,41.4605,26.5595,36.49,21.2354,23.0718,31.1781,32.9359,13.7672,18.4375,36.5515,37.1258,33.2323,32.7965,30.9022,36.8379,48.0495,24.9385,40.9296,26.0115,37.9181
3101,09:30:28.260,36.3508,49.5742,30.4838,31.2202,33.5693,43.512,27.6101,38.2715,23.3321,26.6811,33.4821,34.9084,12.8658,22.3075,38.9056,38.9292,35.2922,33.4888,33.4117,38.3772,50.1885,24.2789,43.0784,25.964,40.4253
3103,09:30:28.262,33.8792,49.1387,28.3538,30.9982,31.8671,43.0176,26.1105,37.6421,22.8806,27.278,33.161,34.5185,8.4146,24.3298,38.6716,38.233,34.8035,31.8633,33.7798,37.4689,49.4723,22.2551,42.1609,24.3042,40.9522
3105,09:30:28.264,29.7091,43.9529,25.4116,29.2693,28.3204,40.4825,22.4891,34.9412,20.0671,24.4976,30.781,32.0964,1.9619,24.5643,36.4911,35.5174,32.2059,28.6798,32.349,34.6129,46.3774,19.2357,39.1408,21.4297,38.4791
3107,09:30:28.266,25.1387,35.1291,21.2003,25.6663,23.0592,35.9726,17.2745,30.0931,15.3803,18.5645,26.4545,27.4084,-3.8224,22.6991,32.2407,30.8059,27.7259,23.9378,28.848,29.9537,41.0007,14.7594,34.4232,17.5204,32.4848
3109,09:30:28.268,20.9322,23.8644,15.1557,20.1644,16.5015,29.7745,11.2618,23.367,9.6254,10.6335,20.3548,20.5133,-7.0283,19.2049,25.9386,24.384,21.8515,17.6519,23.2749,23.8063,33.6768,8.6725,28.0811,12.6864,23.9432
3111,09:30:28.270,17.1426,12.2691,8.4211,14.2226,10.0336,23.1516,5.7082,16.064,4.0635,2.5659,13.8289,12.8811,-7.5693,15.6055,18.9887,17.6147,15.8531,11.0218,16.9003,17.3523,25.7259,2.3327,20.8769,7.5554,15.1836
3113,09:30:28.272,13.4961,3.46,3.734,10.3771,5.6258,17.9729,1.9463,10.0437,0.1086,-3.9938,9.3042,7.0939,-6.7334,13.0714,13.8929,12.5398,11.4007,6.2811,11.8927,12.3885,19.1093,-1.7662,14.5891,3.4367,8.5605
3115,09:30:28.274,9.931,-0.2039,3.1062,10.199,4.4105,15.3317,0.5085,6.4154,-1.4796,-8.4691,8.4696,4.9768,-5.8917,11.1414,12.284,10.3425,9.4124,4.9747,9.6349,10.08,15.0548,-1.9622,10.9189,1.4839,5.0766
3117,09:30:28.276,6.8115,0.7185,5.6698,12.5642,5.5654,14.5698,0.6127,4.7613,-1.2205,-11.3428,10.4532,5.9428,-5.5462,8.518,13.2517,10.2075,9.2831,6.3684,9.4218,9.9176,13.0311,0.8892,9.9646,1.514,4.0897
3119,09:30:28.278,4.6564,2.8278,8.1289,14.1802,6.7802,13.8095,0.6882,3.6992,-0.6416,-13.4066,12.1625,7.3735,-5.3014,5.1652,13.8946,9.8929,9.3695,7.8156,8.9929,10.038,11.2308,3.8506,9.9344,1.8623,4.1409
3121,09:30:28.280,3.6797,2.7439,7.5691,12.1333,6.065,11.546,-0.3929,2.1689,-1.2126,-15.0683,10.8358,6.8479,-4.4759,2.9604,11.7675,7.5986,8.3388,6.9307,6.4843,8.7251,8.1926,4.2426,8.6045,0.7806,4.0274
3123,09:30:28.282,3.5978,0.1144,3.9001,6.1793,3.2803,7.7909,-2.4777,0.1626,-3.3817,-16.2498,6.4384,4.1286,-2.7262,3.7401,6.9076,3.3692,6.1232,3.5173,1.947,5.7215,4.0275,1.7423,5.2439,-1.8384,3.3373
3125,09:30:28.284,3.8413,-2.3411,-0.3852,-1.2542,-0.0107,3.7892,-4.4466,-1.6553,-6.5076,-16.7096,1.5646,1.0576,-0.2756,6.8667,1.5608,-1.2364,3.6668,-0.5561,-2.9275,2.1838,0.1387,-1.6747,1.19,-4.2371,2.3333
3127,09:30:28.286,3.8904,-1.8243,-2.6879,-7.1751,-2.1353,0.7587,-5.3303,-2.8474,-9.6005,-16.384,-0.999,-0.3934,2.3032,9.2438,-1.944,-4.7343,1.8541,-3.2498,-6.4385,-0.542,-2.1809,-3.737,-1.4626,-4.4849,1.4895
3129,09:30:28.288,3.4204,1.6474,-2.4721,-10.2106,-2.7592,-1.0817,-5.1339,-3.6637,-12.0651,-15.5777,-0.6088,0.0688,4.547,7.9348,-3.0358,-6.9358,0.7266,-4.0696,-8.2297,-2.071,-2.8843,-3.8068,-1.7893,-2.4399,0.9999
3131,09:30:28.290,2.2985,5.3392,-1.2231,-11.053,-2.8645,-2.4059,-4.6342,-4.7033,-13.7924,-14.9608,1.1244,1.0466,6.428,2.6113,-2.8927,-8.7278,-0.3239,-4.0684,-9.2215,-3.0253,-3.0399,-3.0034,-0.7573,0.0834,0.5497
3133,09:30:28.292,0.6691,6.4311,-0.6884,-11.1639,-3.4799,-3.9141,-4.4707,-6.2186,-14.7406,-15.2264,2.1723,0.9909,8.2053,-4.5397,-2.9973,-10.8748,-1.7196,-4.4698,-10.4584,-4.1291,-3.7147,-2.7139,-0.1508,1.1608,-0.4058
3135,09:30:28.294,-0.922,4.1687,-1.4092,-11.2495,-4.6,-5.6476,-4.5244,-7.7641,-14.667,-16.4474,1.7807,-0.4058,9.8507,-10.8414,-3.9021,-13.2005,-3.1539,-5.5169,-12.1416,-5.4084,-5.0335,-3.2025,-0.8745,0.6627,-1.9912
3137,09:30:28.296,-1.7564,-0.4642,-2.8198,-10.9155,-5.399,-7.1011,-4.2177,-8.5399,-13.3867,-17.7076,0.4723,-2.2895,10.6392,-14.7009,-5.267,-14.9423,-3.9118,-6.6336,-13.7222,-6.3229,-6.2939,-3.6871,-2.3608,0.1634,-3.5647
3139,09:30:28.298,-1.6504,-6.4718,-4.36,-9.5779,-5.4001,-7.9314,-3.3744,-8.1658,-11.2339,-17.6736,-1.1657,-3.8827,9.522,-15.6067,-6.7478,-15.7804,-3.7201,-7.4556,-14.7769,-6.6045,-6.9274,-3.5828,-3.5887,0.9765,-4.2778
3141,09:30:28.300,-1.5172,-13.5412,-6.1542,-7.517,-5.2405,-8.4953,-2.6765,-7.1963,-9.1154,-15.8598,-3.2746,-5.4047,6.1278,-13.579,-8.5513,-16.3641,-3.2254,-8.4394,-15.6428,-6.8141,-7.2701,-3.4103,-4.4838,2.5185,-4.1374
3143,09:30:28.302,-2.9309,-21.042,-8.5731,-5.9372,-6.1265,-9.6086,-3.1448,-6.7795,-7.9905,-13.275,-6.2512,-7.6579,1.3952,-9.2736,-11.0528,-17.7328,-3.5253,-10.3589,-17.1058,-7.9222,-8.2967,-4.3139,-6.045,2.8733,-4.2804
3145,09:30:28.304,-6.729,-27.0761,-11.316,-5.9191,-8.4865,-11.6456,-5.074,-7.5506,-8.2386,-11.4508,-9.7483,-10.7609,-2.9816,-4.2962,-13.9756,-20.1782,-5.1002,-13.2534,-19.4226,-10.2571,-10.5077,-6.6696,-8.9382,1.0144,-5.7429
3147,09:30:28.306,-11.8878,-29.2819,-13.1048,-7.2341,-11.2151,-13.7929,-7.4554,-8.6747,-9.469,-10.6002,-12.4413,-13.4586,-5.8566,-0.5371,-16.0884,-22.6772,-7.135,-15.9652,-21.6622,-12.876,-13.0535,-9.2678,-12.0742,-1.7199,-7.7833
3149,09:30:28.308,-15.9497,-26.7817,-12.3875,-8.1952,-12.3428,-14.2786,-8.5227,-8.0905,-10.8292,-8.9378,-12.9036,-13.877,-7.2977,1.3122,-15.8478,-23.4906,-7.9403,-16.7964,-22.1111,-14.0683,-14.0495,-10.0295,-12.907,-2.5654,-7.7836
3151,09:30:28.310,-16.8472,-21.0882,-8.4946,-6.8609,-10.5851,-11.6259,-7.0437,-4.0829,-11.4561,-4.2642,-10.7277,-11.1192,-7.8724,2.3583,-12.5188,-21.4613,-6.2174,-14.7619,-19.5372,-12.6393,-11.975,-7.7175,-9.4976,0.1589,-3.4218
3153,09:30:28.312,-14.5289,-14.9351,-2.3786,-2.7405,-6.4286,-6.0347,-3.3472,2.9706,-10.844,3.4849,-6.8809,-6.2495,-7.4988,4.1443,-6.918,-16.9798,-2.1753,-10.4415,-14.3333,-8.919,-7.0414,-3.1402,-2.5254,5.3987,4.6798
3155,09:30:28.314,-10.9763,-10.3599,3.5308,2.3411,-1.9285,0.227,0.6539,10.198,-9.2399,11.2454,-3.169,-1.8112,-5.4946,6.514,-1.2658,-11.9563,2.3271,-5.8622,-8.6584,-4.7466,-1.4239,1.1783,4.6419,10.0503,12.4906
3157,09:30:28.316,-8.797,-8.0027,6.2532,4.9483,0.4558,3.8191,2.3649,13.6551,-8.0401,14.5056,-1.4467,-0.3652,-2.0464,6.9917,1.7201,-8.9503,4.6391,-3.5963,-5.495,-2.5718,1.7927,2.5241,7.9105,11.1611,15.0117
3159,09:30:28.318,-9.7757,-7.8366,3.5612,1.8925,-0.9314,2.0758,-0.2604,10.5664,-9.6184,10.2643,-3.0694,-3.2348,0.7073,2.5034,-0.013,-10.045,2.5807,-5.6257,-7.249,-4.3395,0.1764,-0.5186,4.8038,7.635,9.5631
3161,09:30:28.320,-14.304,-9.7874,-4.8229,-7.9141,-6.2539,-5.5581,-7.7021,0.8618,-15.9797,-1.0826,-8.4789,-10.1076,-0.1468,-8.0507,-6.8834,-15.8974,-4.4772,-12.4003,-14.5914,-10.6253,-6.8746,-7.5233,-4.456,0.3646,-2.7774
3163,09:30:28.322,-21.3816,-13.1774,-16.6788,-22.6326,-13.9993,-17.0962,-18.3544,-12.7526,-26.7044,-15.9681,-16.7001,-19.2356,-5.4176,-22.4915,-17.1979,-25.1537,-15.0195,-22.3322,-25.9186,-20.1236,-17.7225,-16.5666,-17.3499,-8.6178,-18.2726
3165,09:30:28.324,-28.6033,-15.9247,-27.8733,-38.0525,-21.2338,-28.6635,-28.7581,-25.8951,-37.9405,-29.2782,-25.0991,-27.7934,-12.1508,-36.0811,-27.4443,-34.5066,-25.5357,-32.0149,-37.6152,-29.6627,-28.8539,-24.9073,-30.1127,-16.8653,-32.5986
3167,09:30:28.326,-32.4577,-15.1945,-34.1237,-49.2465,-24.5148,-35.9605,-34.8258,-34.1289,-44.0146,-36.2696,-30.1297,-32.5219,-15.4591,-43.5481,-33.5494,-39.7792,-31.7043,-37.4308,-45.2785,-35.1607,-36.0188,-29.744,-38.8458,-21.8911,-42.1983
3169,09:30:28.328,-29.7496,-9.5737,-33.1637,-52.6416,-21.4891,-36.0789,-33.8008,-34.6322,-41.1001,-34.3051,-29.1601,-31.0045,-12.6642,-41.3955,-32.8031,-37.9337,-30.448,-35.8857,-45.7041,-33.5627,-36.0174,-29.1712,-40.7755,-21.7701,-44.7835
3171,09:30:28.330,-19.8263,-0.7149,-25.9466,-47.5704,-12.3901,-28.9001,-25.8653,-27.4302,-30.1185,-24.0788,-22.2464,-23.179,-5.8937,-29.7208,-25.3964,-28.908,-21.7708,-27.5913,-38.6519,-24.7538,-28.3909,-23.1812,-35.5424,-16.1394,-39.7929
3173,09:30:28.332,-5.6961,7.5159,-15.8996,-36.406,-0.1567,-17.1346,-14.0895,-15.4207,-16.1771,-9.4737,-12.2743,-11.7903,-0.4308,-12.6546,-14.3371,-15.7741,-8.8845,-15.6089,-27.0107,-11.8462,-15.7795,-13.9525,-25.5881,-6.7692,-28.8531
3175,09:30:28.334,7.6154,11.9403,-6.6019,-23.043,11.3096,-4.6565,-2.4572,-2.7303,-4.7327,4.5715,-3.0363,-0.8777,-0.1645,3.4472,-3.4835,-2.7458,3.8468,-3.892,-14.8739,0.7949,-2.3074,-4.7606,-14.7489,3.2168,-15.2884
3177,09:30:28.336,16.6238,12.4336,0.4277,-10.6325,19.5982,5.9034,6.6514,7.8111,2.2924,15.148,3.3349,6.8808,-4.3126,13.6219,4.9694,7.5736,13.7418,5.2284,-4.8064,10.4414,9.0435,2.0292,-5.686,11.1804,-2.2842
3179,09:30:28.338,21.7801,11.6721,6.1384,-0.1893,24.968,14.4668,13.5118,16.1857,7.1116,22.9254,7.4451,11.776,-8.3114,17.345,11.5362,15.4455,21.1172,12.1185,3.4627,17.4107,17.9924,6.3328,1.7467,16.3767,8.9865
