,TIME,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4,LShankACCX,LShankACCY,LShankACCZ,LShankGYROX,LShankGYROY,LShankGYROZ,NC,RShankACCX,RShankACCY,RShankACCZ,RShankGYROX,RShankGYROY,RShankGYROZ,NC,WaistACCX,WaistACCY,WaistACCZ,WaistGYROX,WaistGYROY,WaistGYROZ,NC,ArmACCX,ArmACCY,ArmACCZ,ArmGYROX,ArmGYROY,ArmGYROZ,SC
24,09:30:34.048,24.1477,20.9969,26.7152,36.033,25.2842,16.2392,26.2481,16.7467,49.2966,20.717,22.5407,25.1328,32.9231,29.1231,26.8351,51.08,8.1634,29.6954,41.6971,24.763,38.3416,22.1468,25.7111,18.2797,19.6961,-3163.0,2464.5,-16.5,-229.0,-3661.0,7761.965523424949,-771.2715439338588,-3488.243840385117,-106.0665266353204,-13.610987405285393,-4.330569046847436,76.99999999999999,7761.965523424949,-771.2715439338588,-3488.243840385117,-106.0665266353204,-13.610987405285393,-4.330569046847436,76.99999999999999,-676.8390428126671,5307.02856683888,5930.507466027927,52.28672556293979,62.38371096763609,12.66723886428894,1623.9882915219564,-676.8390428126671,5307.02856683888,5930.507466027927,52.28672556293979,62.38371096763609,12.66723886428894,1623.9882915219564
25,09:30:34.050,21.1464,16.4098,22.484,31.9766,22.1054,12.193,22.4998,12.2202,45.6879,14.5499,18.5085,21.4343,29.8484,18.2964,23.1021,48.5699,2.7649,26.1088,36.8309,20.8204,33.8233,18.4274,22.6922,15.8772,18.8027,-3330.0,2259.5,-17.5,-75.5,-3651.5,7763.0,-771.0,-3490.0,-106.0,-13.999999999999996,-4.999999999999998,76.99999999999999,7763.0,-771.0,-3490.0,-106.0,-13.999999999999996,-4.999999999999998,76.99999999999999,-674.0,5298.0,5928.000000000001,53.0,61.99999999999999,12.999999999999996,1624.0,-674.0,5298.0,5928.000000000001,53.0,61.99999999999999,12.999999999999996,1624.0
26,09:30:34.052,17.2889,11.8016,18.3823,27.9912,18.9963,8.4714,18.6741,7.8841,40.8019,7.4688,14.0375,17.6702,24.3457,6.4762,19.2069,46.0455,-2.5298,22.2607,32.091,16.5629,29.8046,15.0706,20.1149,14.2577,19.3471,-3503.5,2056.0,-18.5,82.5,-3637.0,7767.839587103167,-767.7460107644039,-3488.377572313985,-106.3491016433693,-14.342465957570218,-5.366125426840934,76.99999999999999,7767.839587103167,-767.7460107644039,-3488.377572313985,-106.3491016433693,-14.342465957570218,-5.366125426840934,76.99999999999999,-675.2139723757692,5295.6044474252085,5930.108952143133,53.9197873565615,61.07440992847445,13.226411375698683,1624.0163918692672,-675.2139723757692,5295.6044474252085,5930.108952143133,53.9197873565615,61.07440992847445,13.226411375698683,1624.0163918692672
27,09:30:34.054,12.6998,7.1352,14.4636,23.8713,15.9356,4.9054,15.1796,3.9483,35.3329,0.2645,8.861,13.4925,16.8165,-4.5238,15.0312,43.7723,-7.3854,18.371,27.5375,12.389,26.454,11.7293,16.9626,13.2593,19.916,-3618.5,1984.5,-19.5,117.0,-3621.0,7775.127471510615,-762.6064905241204,-3484.234134486412,-106.94569555007742,-14.625223777532502,-5.471153543026582,77.0,7775.127471510615,-762.6064905241204,-3484.234134486412,-106.94569555007742,-14.625223777532502,-5.471153543026582,77.0,-679.3925861503709,5299.213416909176,5935.810927607396,54.973698448670746,59.77654293489941,13.339751307464828,1624.0316128907318,-679.3925861503709,5299.213416909176,5935.810927607396,54.973698448670746,59.77654293489941,13.339751307464828,1624.0316128907318
28,09:30:34.056,8.2395,2.9756,11.2259,19.9059,13.3305,1.8156,12.5533,0.9022,30.3272,-6.3161,3.4542,9.1965,9.1454,-13.0089,11.0593,42.177,-11.2868,15.0625,23.4816,8.9673,24.2266,8.7838,13.248,12.5432,19.5553,-3632.0,2086.0,-21.0,263.0,-3609.5,7782.995562366477,-757.0939649016383,-3478.90191050185,-107.56773863510055,-14.836748618709576,-5.393118945791821,77.00000000000001,7782.995562366477,-757.0939649016383,-3478.90191050185,-107.56773863510055,-14.836748618709576,-5.393118945791821,77.00000000000001,-684.8642137370847,5307.520162680536,5943.458427000088,56.06771586249872,58.34147097708786,13.339885551381624,1624.038637977563,-684.8642137370847,5307.520162680536,5943.458427000088,56.06771586249872,58.34147097708786,13.339885551381624,1624.038637977563
29,09:30:34.058,4.8512,0.124,9.2204,16.6673,11.6008,-0.2809,11.049,-0.6337,26.7694,-11.425,-1.3537,5.5422,3.5397,-17.2021,7.9997,41.5243,-13.7126,12.8525,20.3832,6.7383,23.6086,6.8501,9.9759,11.6726,18.4119,-3544.0,2307.0,-24.5,372.0,-3598.0,7789.575768814895,-752.7209595194352,-3473.713124344856,-107.993187813416,-14.965515639924512,-5.210056232371322,76.99999999999999,7789.575768814895,-752.7209595194352,-3473.713124344856,-107.993187813416,-14.965515639924512,-5.210056232371322,76.99999999999999,-689.9572275492011,5319.217938967933,5951.403950928524,57.1078221842183,57.00426601285025,13.22667986353225,1624.0304420429293,-689.9572275492011,5319.217938967933,5951.403950928524,57.1078221842183,57.00426601285025,13.22667986353225,1624.0304420429293
30,09:30:34.060,3.0562,-0.8843,8.687,14.7525,10.9371,-0.9178,10.636,0.0201,25.3919,-13.844,-4.8175,3.3846,1.0891,-15.382,6.3663,41.9214,-14.172,11.9159,18.762,5.8206,24.997,6.1124,8.2753,10.618,17.7708,-3385.5,2597.5,-27.5,268.0,-3593.0,7793.000000000001,-751.0,-3470.000000000001,-108.0,-15.000000000000002,-5.0,76.99999999999999,7793.000000000001,-751.0,-3470.000000000001,-108.0,-15.000000000000002,-5.0,76.99999999999999,-693.0,5333.000000000001,5958.000000000001,58.0,56.0,13.0,1624.0,-693.0,5333.000000000001,5958.000000000001,58.0,56.0,13.0,1624.0
31,09:30:34.062,2.9686,0.0099,9.5345,14.6152,11.3978,0.2241,11.2738,3.303,26.5447,-12.6056,-6.4064,3.3446,1.3881,-7.186,6.3484,43.4856,-12.3227,12.2431,19.0562,6.2552,28.622,6.2941,8.6235,10.0397,19.2065,-3222.5,2757.0,-30.5,205.5,-3592.0,7791.94097828977,-752.9626976687646,-3468.685184292505,-107.44626812518018,-14.93383835822223,-4.8307766302556105,76.99999999999999,7791.94097828977,-752.9626976687646,-3468.685184292505,-107.44626812518018,-14.93383835822223,-4.8307766302556105,76.99999999999999,-692.809277292375,5347.604092210726,5961.998469671759,58.65862107996961,55.49814271450827,12.66643340078776,1623.9461410009687,-692.809277292375,5347.604092210726,5961.998469671759,58.65862107996961,55.49814271450827,12.66643340078776,1623.9461410009687
32,09:30:34.064,4.5238,2.4784,11.5064,16.3752,13.0061,3.1757,12.9818,8.8774,29.9578,-8.2268,-5.83,5.5515,3.3165,5.0444,7.8526,46.2645,-8.2945,13.7839,21.332,8.0869,34.3098,7.1537,10.7976,10.7768,23.3136,-3111.5,2714.0,-32.5,192.0,-3592.5,7787.234678947509,-757.7170066629643,-3469.053015410233,-106.5106291806878,-14.781313375730573,-4.729379642089241,77.0,7787.234678947509,-757.7170066629643,-3469.053015410233,-106.5106291806878,-14.781313375730573,-4.729379642089241,77.0,-690.15530078764,5361.945930855429,5963.748834800754,59.03161393006389,55.40575520498896,12.25945424157863,1623.891111154132,-690.15530078764,5361.945930855429,5963.748834800754,59.03161393006389,55.40575520498896,12.25945424157863,1623.891111154132
33,09:30:34.066,7.4747,5.9652,14.2468,19.6185,15.5921,7.4684,15.5781,15.4234,34.6167,-3.0913,-3.2209,9.5073,5.9525,16.7881,10.4955,49.9167,-2.9233,16.3011,25.0239,11.1034,41.2467,8.744,14.3276,12.9304,29.0804,-3085.0,2691.0,-34.0,253.5,-3593.0,7780.257890460365,-763.8899668227785,-3469.9782543817087,-105.45185617360596,-14.561869214127908,-4.71259433879508,77.00000000000001,7780.257890460365,-763.8899668227785,-3469.9782543817087,-105.45185617360596,-14.561869214127908,-4.71259433879508,77.00000000000001,-686.2966856367196,5374.985723394763,5963.999965093868,59.0752962401733,55.56429633821541,11.819258381975832,1623.863010806811,-686.2966856367196,5374.985723394763,5963.999965093868,59.0752962401733,55.56429633821541,11.819258381975832,1623.863010806811
